levtiades_index,source_atlas,original_index,region_name,voxel_count,original_roi_file
139,Destrieux,81,R_G_and_S_cingul-Ant,976,destrieux_081_R_G_and_S_cingul-Ant.nii.gz
140,Destrieux,82,R_G_and_S_cingul-Mid-Ant,593,destrieux_082_R_G_and_S_cingul-Mid-Ant.nii.gz
141,Destrieux,83,R_G_and_S_cingul-Mid-Post,619,destrieux_083_R_G_and_S_cingul-Mid-Post.nii.gz
142,Destrieux,84,R_G_cingul-Post-dorsal,397,destrieux_084_R_G_cingul-Post-dorsal.nii.gz
143,Destrieux,85,R_G_cingul-Post-ventral,204,destrieux_085_R_G_cingul-Post-ventral.nii.gz
144,Destrieux,86,R_G_cuneus,633,destrieux_086_R_G_cuneus.nii.gz
145,Destrieux,87,R_G_front_inf-Opercular,733,destrieux_087_R_G_front_inf-Opercular.nii.gz
146,Destrieux,88,R_G_front_inf-Orbital,116,destrieux_088_R_G_front_inf-Orbital.nii.gz
147,Destrieux,89,R_G_front_inf-Triangul,436,destrieux_089_R_G_front_inf-Triangul.nii.gz
148,Destrieux,90,R_G_front_middle,1746,destrieux_090_R_G_front_middle.nii.gz
149,Destrieux,91,R_G_front_sup,3455,destrieux_091_R_G_front_sup.nii.gz
150,Destrieux,92,R_G_Ins_lg_and_S_cent_ins,291,destrieux_092_R_G_Ins_lg_and_S_cent_ins.nii.gz
151,Destrieux,93,R_G_insular_short,381,destrieux_093_R_G_insular_short.nii.gz
152,Destrieux,94,R_G_occipital_middle,866,destrieux_094_R_G_occipital_middle.nii.gz
153,Destrieux,95,R_G_occipital_sup,696,destrieux_095_R_G_occipital_sup.nii.gz
154,Destrieux,96,R_G_oc-temp_lat-fusifor,810,destrieux_096_R_G_oc-temp_lat-fusifor.nii.gz
155,Destrieux,97,R_G_oc-temp_med-Lingual,1063,destrieux_097_R_G_oc-temp_med-Lingual.nii.gz
156,Destrieux,98,R_G_oc-temp_med-Parahip,1021,destrieux_098_R_G_oc-temp_med-Parahip.nii.gz
157,Destrieux,99,R_G_orbital,1554,destrieux_099_R_G_orbital.nii.gz
158,Destrieux,100,R_G_pariet_inf-Angular,970,destrieux_100_R_G_pariet_inf-Angular.nii.gz
159,Destrieux,101,R_G_pariet_inf-Supramar,1263,destrieux_101_R_G_pariet_inf-Supramar.nii.gz
160,Destrieux,102,R_G_parietal_sup,931,destrieux_102_R_G_parietal_sup.nii.gz
161,Destrieux,103,R_G_postcentral,1073,destrieux_103_R_G_postcentral.nii.gz
162,Destrieux,104,R_G_precentral,1662,destrieux_104_R_G_precentral.nii.gz
163,Destrieux,105,R_G_precuneus,1154,destrieux_105_R_G_precuneus.nii.gz
164,Destrieux,106,R_G_rectus,490,destrieux_106_R_G_rectus.nii.gz
165,Destrieux,107,R_G_subcallosal,89,destrieux_107_R_G_subcallosal.nii.gz
166,Destrieux,108,R_G_temp_sup-G_T_transv,238,destrieux_108_R_G_temp_sup-G_T_transv.nii.gz
167,Destrieux,109,R_G_temp_sup-Lateral,1175,destrieux_109_R_G_temp_sup-Lateral.nii.gz
168,Destrieux,110,R_G_temp_sup-Plan_polar,305,destrieux_110_R_G_temp_sup-Plan_polar.nii.gz
169,Destrieux,111,R_G_temp_sup-Plan_tempo,297,destrieux_111_R_G_temp_sup-Plan_tempo.nii.gz
170,Destrieux,112,R_G_temporal_inf,1244,destrieux_112_R_G_temporal_inf.nii.gz
171,Destrieux,113,R_G_temporal_middle,1567,destrieux_113_R_G_temporal_middle.nii.gz
172,Destrieux,114,R_Lat_Fis-ant-Horizont,114,destrieux_114_R_Lat_Fis-ant-Horizont.nii.gz
