label_id,source_atlas,region_name,voxel_count,volume_mm3
206,Destrieux,"(106, 'R G_rectus')",490,3920
207,Destrieux,"(107, 'R G_subcallosal')",89,712
208,Destrieux,"(108, 'R G_temp_sup-G_T_transv')",238,1904
209,Destrieux,"(109, 'R G_temp_sup-Lateral')",1175,9400
210,Destrieux,"(110, 'R G_temp_sup-Plan_polar')",301,2408
211,Destrieux,"(111, 'R G_temp_sup-Plan_tempo')",297,2376
212,Destrieux,"(112, 'R G_temporal_inf')",1244,9952
213,Destrieux,"(113, 'R G_temporal_middle')",1567,12536
214,Destrieux,"(114, 'R Lat_Fis-ant-Horizont')",114,912
215,Destrieux,"(115, 'R Lat_Fis-ant-Vertical')",66,528
216,Destrieux,"(116, 'R Lat_Fis-post')",506,4048
218,Destrieux,"(118, 'R Pole_occipital')",1081,8648
219,Destrieux,"(119, 'R Pole_temporal')",1080,8640
220,Destrieux,"(120, 'R S_calcarine')",651,5208
221,Destrieux,"(121, 'R S_central')",1061,8488
222,Destrieux,"(122, 'R S_cingul-Marginalis')",470,3760
223,Destrieux,"(123, 'R S_circular_insula_ant')",215,1720
224,Destrieux,"(124, 'R S_circular_insula_inf')",537,4296
225,Destrieux,"(125, 'R S_circular_insula_sup')",496,3968
226,Destrieux,"(126, 'R S_collat_transv_ant')",242,1936
227,Destrieux,"(127, 'R S_collat_transv_post')",74,592
228,Destrieux,"(128, 'R S_front_inf')",470,3760
229,Destrieux,"(129, 'R S_front_middle')",416,3328
230,Destrieux,"(130, 'R S_front_sup')",577,4616
231,Destrieux,"(131, 'R S_interm_prim-Jensen')",98,784
232,Destrieux,"(132, 'R S_intrapariet_and_P_trans')",671,5368
233,Destrieux,"(133, 'R S_oc_middle_and_Lunatus')",207,1656
234,Destrieux,"(134, 'R S_oc_sup_and_transversal')",362,2896
235,Destrieux,"(135, 'R S_occipital_ant')",115,920
236,Destrieux,"(136, 'R S_oc-temp_lat')",157,1256
237,Destrieux,"(137, 'R S_oc-temp_med_and_Lingual')",519,4152
238,Destrieux,"(138, 'R S_orbital_lateral')",83,664
239,Destrieux,"(139, 'R S_orbital_med-olfact')",189,1512
240,Destrieux,"(140, 'R S_orbital-H_Shaped')",408,3264
241,Destrieux,"(141, 'R S_parieto_occipital')",574,4592
242,Destrieux,"(142, 'R S_pericallosal')",438,3504
243,Destrieux,"(143, 'R S_postcentral')",633,5064
244,Destrieux,"(144, 'R S_precentral-inf-part')",439,3512
245,Destrieux,"(145, 'R S_precentral-sup-part')",412,3296
246,Destrieux,"(146, 'R S_suborbital')",119,952
247,Destrieux,"(147, 'R S_subparietal')",297,2376
248,Destrieux,"(148, 'R S_temporal_inf')",190,1520
249,Destrieux,"(149, 'R S_temporal_sup')",1715,13720
250,Destrieux,"(150, 'R S_temporal_transverse')",94,752
