index,region_name,source_atlas
186,"(129, 'R S_front_middle')",Destrieux
187,"(130, 'R S_front_sup')",Destrieux
188,"(131, 'R S_interm_prim-Jensen')",Destrieux
189,"(132, 'R S_intrapariet_and_P_trans')",Destrieux
190,"(133, 'R S_oc_middle_and_Lunatus')",Destrieux
191,"(134, 'R S_oc_sup_and_transversal')",Destrieux
192,"(135, 'R S_occipital_ant')",Destrieux
193,"(136, 'R S_oc-temp_lat')",Destrieux
194,"(137, 'R S_oc-temp_med_and_Lingual')",Destrieux
195,"(138, 'R S_orbital_lateral')",Destrieux
196,"(139, 'R S_orbital_med-olfact')",Destrieux
197,"(140, 'R S_orbital-H_Shaped')",Destrieux
198,"(141, 'R S_parieto_occipital')",Destrieux
199,"(142, 'R S_pericallosal')",Destrieux
200,"(143, 'R S_postcentral')",Destrieux
201,"(144, 'R S_precentral-inf-part')",Destrieux
202,"(145, 'R S_precentral-sup-part')",Destrieux
203,"(146, 'R S_suborbital')",Destrieux
204,"(147, 'R S_subparietal')",Destrieux
205,"(148, 'R S_temporal_inf')",Destrieux
206,"(149, 'R S_temporal_sup')",Destrieux
207,"(150, 'R S_temporal_transverse')",Destrieux
