index,region_name,source_atlas,mni_x,mni_y,mni_z,volume_voxels,volume_mm3
123,"(65, 'L S_orbital-H_Shaped')",Destrieux,-26.0,35.1,-12.1,333,2664
124,"(66, 'L S_parieto_occipital')",Destrieux,-15.5,-69.2,24.2,532,4256
125,"(67, 'L S_pericallosal')",Destrieux,-4.8,-5.1,20.6,426,3408
126,"(68, 'L S_postcentral')",Destrieux,-37.5,-36.6,46.5,739,5912
127,"(69, 'L S_precentral-inf-part')",Destrieux,-43.8,2.9,28.5,434,3472
128,"(70, 'L S_precentral-sup-part')",Destrieux,-28.6,-9.4,53.1,404,3232
129,"(71, 'L S_suborbital')",Destrieux,-7.3,38.9,-9.3,245,1960
130,"(72, 'L S_subparietal')",Destrieux,-10.4,-49.5,36.2,306,2448
131,"(73, 'L S_temporal_inf')",Destrieux,-51.3,-38.9,-15.1,238,1904
132,"(74, 'L S_temporal_sup')",Destrieux,-49.3,-42.9,4.9,1339,10712
133,"(75, 'L S_temporal_transverse')",Destrieux,-50.5,-26.5,4.1,108,864
134,"(76, 'R G_and_S_frontomargin')",Destrieux,21.6,56.7,-9.4,435,3480
135,"(77, 'R G_and_S_occipital_inf')",Destrieux,41.7,-79.3,-11.2,584,4672
136,"(78, 'R G_and_S_paracentral')",Destrieux,6.8,-34.4,68.7,732,5856
137,"(79, 'R G_and_S_subcentral')",Destrieux,56.9,-10.7,16.3,617,4936
138,"(80, 'R G_and_S_transv_frontopol')",Destrieux,16.0,62.2,1.6,508,4064
139,"(81, 'R G_and_S_cingul-Ant')",Destrieux,8.6,37.7,8.6,976,7808
140,"(82, 'R G_and_S_cingul-Mid-Ant')",Destrieux,7.7,15.4,36.5,593,4744
141,"(83, 'R G_and_S_cingul-Mid-Post')",Destrieux,6.7,-11.2,42.7,619,4952
142,"(84, 'R G_cingul-Post-dorsal')",Destrieux,3.4,-39.9,33.2,397,3176
143,"(85, 'R G_cingul-Post-ventral')",Destrieux,8.2,-51.1,7.6,204,1632
144,"(86, 'R G_cuneus')",Destrieux,6.1,-80.0,19.6,633,5064
145,"(87, 'R G_front_inf-Opercular')",Destrieux,51.0,7.8,9.0,733,5864
146,"(88, 'R G_front_inf-Orbital')",Destrieux,48.9,31.8,-6.8,116,928
147,"(89, 'R G_front_inf-Triangul')",Destrieux,52.2,27.8,8.5,436,3488
148,"(90, 'R G_front_middle')",Destrieux,37.5,31.8,32.9,1746,13968
149,"(91, 'R G_front_sup')",Destrieux,10.2,25.9,46.7,3455,27640
150,"(92, 'R G_Ins_lg_and_S_cent_ins')",Destrieux,39.6,-5.7,-1.9,291,2328
151,"(93, 'R G_insular_short')",Destrieux,38.6,9.3,-1.6,381,3048
152,"(94, 'R G_occipital_middle')",Destrieux,40.9,-82.3,14.6,866,6928
153,"(95, 'R G_occipital_sup')",Destrieux,19.1,-86.2,32.9,696,5568
154,"(96, 'R G_oc-temp_lat-fusifor')",Destrieux,33.8,-52.0,-18.3,810,6480
155,"(97, 'R G_oc-temp_med-Lingual')",Destrieux,11.5,-67.6,-3.6,1063,8504
156,"(98, 'R G_oc-temp_med-Parahip')",Destrieux,24.9,-17.3,-25.4,1021,8168
157,"(99, 'R G_orbital')",Destrieux,28.5,33.6,-16.8,1554,12432
158,"(100, 'R G_pariet_inf-Angular')",Destrieux,45.9,-63.0,39.7,970,7760
159,"(101, 'R G_pariet_inf-Supramar')",Destrieux,57.7,-33.4,32.2,1263,10104
160,"(102, 'R G_parietal_sup')",Destrieux,22.3,-57.3,61.7,931,7448
161,"(103, 'R G_postcentral')",Destrieux,44.3,-24.4,55.1,1073,8584
162,"(104, 'R G_precentral')",Destrieux,42.1,-8.9,51.5,1662,13296
163,"(105, 'R G_precuneus')",Destrieux,6.1,-60.4,43.9,1154,9232
164,"(106, 'R G_rectus')",Destrieux,5.5,32.2,-20.1,490,3920
165,"(107, 'R G_subcallosal')",Destrieux,5.4,13.5,-12.2,89,712
166,"(108, 'R G_temp_sup-G_T_transv')",Destrieux,48.0,-18.3,7.2,238,1904
167,"(109, 'R G_temp_sup-Lateral')",Destrieux,59.9,-10.1,-4.5,1175,9400
168,"(110, 'R G_temp_sup-Plan_polar')",Destrieux,43.0,4.0,-18.2,305,2440
169,"(111, 'R G_temp_sup-Plan_tempo')",Destrieux,58.0,-32.5,17.8,297,2376
170,"(112, 'R G_temporal_inf')",Destrieux,53.3,-33.9,-25.3,1244,9952
171,"(113, 'R G_temporal_middle')",Destrieux,61.3,-29.1,-12.3,1567,12536
172,"(114, 'R Lat_Fis-ant-Horizont')",Destrieux,41.5,27.4,2.7,114,912
173,"(115, 'R Lat_Fis-ant-Vertical')",Destrieux,45.4,19.8,9.5,66,528
174,"(116, 'R Lat_Fis-post')",Destrieux,40.5,-28.8,18.4,506,4048
175,"(118, 'R Pole_occipital')",Destrieux,17.8,-96.7,-1.6,1081,8648
176,"(119, 'R Pole_temporal')",Destrieux,37.5,6.7,-36.5,1080,8640
177,"(120, 'R S_calcarine')",Destrieux,17.9,-65.0,6.2,651,5208
178,"(121, 'R S_central')",Destrieux,35.9,-20.4,46.7,1061,8488
